URL,Industry,Country,State,DNSMI
https://eudora.com.br,BEAUTY AND FITNESS,BR,NON-US,False
https://expertoanimal.com,PETS AND ANIMALS,US,AZ,False
https://animalia.bio,PETS AND ANIMALS,US,CA,True
https://livemint.com,FINANCE,US,AZ,False
https://businessinsider.com,FINANCE,US,AZ,False
https://bankbazaar.com,FINANCE,US,AZ,False
https://hangikredi.com,FINANCE,US,AZ,False
https://wise.com,FINANCE,US,CA,False
https://tradingview.com,FINANCE,US,CA,False
https://paypal.com,FINANCE,US,CA,False
https://coinmarketcap.com,FINANCE,US,CA,True
https://intuit.com,FINANCE,US,CA,False
https://coinbase.com,FINANCE,US,CA,True
https://schwab.com,FINANCE,US,CA,False
https://wellsfargo.com,FINANCE,US,CA,True
https://experian.com,FINANCE,US,CA,False
https://creditkarma.com,FINANCE,US,CA,False
https://forbes.com,FINANCE,US,NY,True
https://investopedia.com,FINANCE,US,NY,False
https://americanexpress.com,FINANCE,US,NY,True
https://finance.yahoo.com,FINANCE,US,VA,False
https://capitalone.com,FINANCE,US,VA,False
https://bankrate.com,FINANCE,US,ID,True
https://bankofamerica.com,FINANCE,US,NC,False
https://chase.com,FINANCE,US,DE,False
https://westernunion.com,FINANCE,US,CO,False
https://nasdaq.com,FINANCE,US,CT,True
https://discover.com,FINANCE,US,IL,False
https://fidelity.com,FINANCE,US,MA,False
https://pnc.com,FINANCE,US,PA,True
https://usbank.com,FINANCE,US,MN,False
https://microsoft.com,COMPUTERS AND ELECTRONICS,US,WA,False
https://apple.com,COMPUTERS AND ELECTRONICS,US,CA,False
https://github.com,COMPUTERS AND ELECTRONICS,US,CA,True
https://hp.com,COMPUTERS AND ELECTRONICS,US,CA,False
https://icloud.com,COMPUTERS AND ELECTRONICS,US,CA,False
https://oracle.com,COMPUTERS AND ELECTRONICS,US,CA,True
https://cloud.google.com,COMPUTERS AND ELECTRONICS,US,CA,False
https://autodesk.com,COMPUTERS AND ELECTRONICS,US,CA,True
https://webpkgcache.com,COMPUTERS AND ELECTRONICS,US,CA,False
https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,False
https://iloveimg.com,COMPUTERS AND ELECTRONICS,US,AZ,False
https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,False
https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,False
https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,True
https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,True
https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,True
https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,False
https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,True
https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,False
https://loveandlemons.com,FOOD AND DRINK,US,AZ,True
https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,True
https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,True
https://swiggy.com,FOOD AND DRINK,US,AZ,False
https://natashaskitchen.com,FOOD AND DRINK,US,AZ,True
https://downshiftology.com,FOOD AND DRINK,US,AZ,True
https://rentcafe.com,REAL ESTATE,US,ID,False
https://apartments.com,REAL ESTATE,US,DC,True
https://homes.com,REAL ESTATE,US,DC,False
https://realtor.com,REAL ESTATE,US,FL,True
https://redfin.com,REAL ESTATE,US,AZ,True
https://aplaceformom.com,REAL ESTATE,US,AZ,True
https://valuecom.com,REAL ESTATE,US,AZ,False
https://housing.com,REAL ESTATE,US,CO,False
https://remax.com,REAL ESTATE,US,CO,False
https://rent.com,REAL ESTATE,US,GA,True
