,URL,Industry,Country,State,WORDS,CAPABILITY,LEGAL,BUSINESS_FOCUS,UTILIZATION,INNOVATION,SECURITY,EDUCATION,TECHNOLOGY
0,https://sephora.com,BEAUTY AND FITNESS,US,FL,222.0,73.0,64.0,30.0,17.0,15.0,34.0,37.0,10.0
1,https://glamour.com,BEAUTY AND FITNESS,US,NY,426.0,92.0,110.0,100.0,39.0,11.0,30.0,37.0,6.0
2,https://yelp.com,BEAUTY AND FITNESS,US,CA,293.0,106.0,73.0,65.0,58.0,7.0,31.0,45.0,14.0
3,https://eudora.com.br,BEAUTY AND FITNESS,BR,NON-US,10.0,8.0,10.0,12.0,15.0,2.0,14.0,28.0,0.0
4,https://disneyplus.com,ENTERTAINMENT,US,CA,20.0,8.0,15.0,8.0,5.0,1.0,5.0,8.0,4.0
5,https://youtube.com,ENTERTAINMENT,US,CA,552.0,114.0,47.0,39.0,67.0,23.0,89.0,109.0,14.0
6,https://dogster.com,PETS AND ANIMALS,US,AZ,113.0,40.0,27.0,20.0,19.0,7.0,12.0,26.0,5.0
7,https://dogtime.com,PETS AND ANIMALS,US,AZ,194.0,42.0,42.0,26.0,26.0,10.0,10.0,33.0,20.0
8,https://expertoanimal.com,PETS AND ANIMALS,US,AZ,15.0,3.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0
9,https://wildlifetrusts.org,PETS AND ANIMALS,US,AZ,213.0,42.0,28.0,24.0,54.0,8.0,19.0,32.0,23.0
10,https://cats.com,PETS AND ANIMALS,US,AZ,39.0,3.0,10.0,4.0,5.0,3.0,5.0,4.0,3.0
11,https://litter-robot.com,PETS AND ANIMALS,US,AZ,18.0,3.0,6.0,1.0,0.0,3.0,3.0,7.0,2.0
12,https://lancasterpuppies.com,PETS AND ANIMALS,US,AZ,79.0,13.0,13.0,11.0,8.0,3.0,6.0,14.0,3.0
13,https://aquariumcoop.com,PETS AND ANIMALS,US,AZ,22.0,8.0,11.0,6.0,3.0,3.0,3.0,10.0,2.0
14,https://trustedhousesitters.com,PETS AND ANIMALS,US,AZ,205.0,37.0,39.0,15.0,81.0,2.0,5.0,17.0,3.0
